Park Name,Year,Cause of Death
Colorado National Monument,2020,2
Colorado National Monument,2019,2
Colorado National Monument,2018,2
Colorado National Monument,2015,2
Clara Barton National Historic Site,2018,2
Colonial National Historical Park,2020,2
Suitland,2020,2
Biscayne National Park,2011,2
Colonial National Historical Park,2018,2
Colonial National Historical Park,2011,2
Shenandoah National Park,2008,2
Shenandoah National Park,2012,2
Death Valley National Park,2007,2
Black Canyon Of The Gunnison National Park,2013,2
Canyonlands National Park,2017,2
Fredericksburg & Spotsylvania National Military Park,2022,2
Rock Creek Park,2019,2
Amistad National Recreation Area,2015,2
Rock Creek Park,2020,2
Rock Creek Park,2021,2
Gateway National Recreation Area,2007,2
Rock Creek Park,2022,2
Rock Creek Park,2023,2
Fredericksburg & Spotsylvania National Military Park,2019,2
Gateway National Recreation Area,2022,2
Rocky Mountain National Park,2008,2
Zion National Park,2012,2
Anacostia Park,2017,2
Rocky Mountain National Park,2012,2
Zion National Park,2009,2
Rocky Mountain National Park,2015,2
Death Valley National Park,2011,2
Gateway National Recreation Area,2021,2
Gauley River National Recreation Area,2007,2
Fire Island National Seashore,2012,2
Redwood National and State Parks,2018,2
Glen Canyon National Recreation Area,2023,2
Glacier National Park,2022,2
Glacier National Park,2020,2
Glacier National Park,2018,2
Glacier National Park,2012,2
Glacier National Park,2009,2
Glacier National Park,2008,2
Glacier Bay National Park & Preserve,2016,2
Amistad National Recreation Area,2008,2
Gettysburg National Military Park,2019,2
Redwood National and State Parks,2021,2
George Washington Memorial Parkway,2014,2
Acadia National Park,2014,2
Acadia National Park,2017,2
Acadia National Park,2022,2
George Washington Birthplace,2013,2
Arches National Park,2018,2
Zion National Park,2007,2
Saguaro National Park,2008,2
Denali National Park & Preserve,2008,2
Baltimore-Washington Parkway,2007,2
Arches National Park,2023,2
Baltimore-Washington Parkway,2009,2
Baltimore-Washington Parkway,2014,2
Bandelier National Monument,2016,2
Yellowstone National Park,2012,2
Denali National Park & Preserve,2021,2
San Antonio Missions National Historical Park,2015,2
Saint Croix National Scenic Riverway,2018,2
Delaware Water Gap National Recreation Area,2022,2
Big Bend National Park,2018,2
Delaware Water Gap National Recreation Area,2014,2
Delaware Water Gap National Recreation Area,2012,2
Delaware Water Gap National Recreation Area,2010,2
Big Bend National Park,2020,2
Yellowstone National Park,2011,2
Buffalo National River,2011,2
Baltimore-Washington Parkway,2008,2
Dinosaur National Monument,2016,2
Saint Croix Island International Historic Site,2013,2
Yosemite National Park,2008,2
Assateague Island National Seashore,2021,2
Buffalo National River,2013,2
Dinosaur National Monument,2017,2
Everglades National Park,2016,2
Saguaro National Park,2010,2
Saint Croix Island International Historic Site,2012,2
Canaveral National Seashore,2019,2
Badlands National Park,2015,2
Dry Tortugas National Park,2015,2
Assateague Island National Seashore,2016,2
Saint Croix National Scenic Riverway,2017,2
Assateague Island National Seashore,2018,2
Virgin Islands National Park,2014,1
Voyageurs National Park,2013,1
North Cascades National Park,2012,1
Virgin Islands National Park,2012,1
Voyageurs National Park,2009,1
Obed Wild & Scenic River,2017,1
North Cascades National Park,2013,1
Virgin Islands National Park,2013,1
Obed Wild & Scenic River,2015,1
North Cascades National Park,2015,1
Redwood National and State Parks,2012,1
North Cascades National Park,2011,1
Yellowstone National Park,2009,1
Wind Cave National Park,2012,1
Wind Cave National Park,2014,1
Wind Cave National Park,2016,1
Wrangell - St Elias National Park & Reserve,2014,1
Wrangell - St Elias National Park & Reserve,2020,1
Wupatki National Monument,2022,1
Yellowstone National Park,2021,1
National Mall & Memorial Parks,2021,1
Yellowstone National Park,2022,1
Yellowstone National Park,2023,1
Yorktown Battlefield Part of Colonial National Historical Park,2023,1
Zion National Park,2016,1
Zion National Park,2020,1
National Mall & Memorial Parks,2008,1
Wind Cave National Park,2007,1
White Sands National Park,2021,1
North Cascades National Park,2010,1
Niobrara National Scenic River,2012,1
Voyageurs National Park,2017,1
Voyageurs National Park,2018,1
North Cascades National Park,2009,1
Walnut Canyon National Monument,2017,1
Whiskeytown National Recreation Area,2007,1
Niobrara National Scenic River,2015,1
Whiskeytown National Recreation Area,2012,1
White Sands National Park,2019,1
Whiskeytown National Recreation Area,2014,1
New River Gorge National River,2020,1
Whiskeytown National Recreation Area,2018,1
New River Gorge National River,2014,1
White Sands National Park,2011,1
White Sands National Park,2018,1
Wilson's Creek National Battlefield,2019,1
Organ Pipe Cactus National Monument,2020,1
Obed Wild & Scenic River,2021,1
Pictured Rocks National Lakeshore,2013,1
Point Reyes National Seashore,2021,1
Saint Croix National Scenic Riverway,2019,1
Saint Croix National Scenic Riverway,2021,1
Point Reyes National Seashore,2018,1
Saint Croix National Scenic Riverway,2022,1
San Antonio Missions National Historical Park,2017,1
San Antonio Missions National Historical Park,2019,1
San Francisco Maritime National Historical Park,2014,1
San Francisco Maritime National Historical Park,2015,1
San Francisco Maritime National Historical Park,2019,1
San Juan Island National Historical Park,2018,1
Piscataway Park,2022,1
Piscataway Park,2014,1
Pinnacles National Park,2022,1
Santa Monica Mountains National Recreation Area,2010,1
Pinnacles National Park,2019,1
Pinnacles National Park,2014,1
Pinnacles National Park,2008,1
Pictured Rocks National Lakeshore,2023,1
Pictured Rocks National Lakeshore,2019,1
Pictured Rocks National Lakeshore,2018,1
Point Reyes National Seashore,2022,1
President's Park (White House),2019,1
Saint Croix National Scenic Riverway,2011,1
Prince William Forest Park,2021,1
Redwood National and State Parks,2020,1
Redwood National and State Parks,2022,1
Richmond National Battlefield Park,2009,1
Richmond National Battlefield Park,2022,1
Richmond National Battlefield Park,2023,1
Rock Creek Park,2015,1
Redwood National and State Parks,2010,1
Rocky Mountain National Park,2007,1
Redwood National and State Parks,2007,1
Prince William Forest,2011,1
Saint Croix National Scenic Riverway,2009,1
Rocky Mountain National Park,2022,1
Presidio of San Francisco,2017,1
Saguaro National Park,2009,1
National Capital Parks-East,2019,1
Saguaro National Park,2015,1
Saguaro National Park,2016,1
Saguaro National Park,2017,1
Saguaro National Park,2021,1
Saint Croix Island International Historic Site,2015,1
Pictured Rocks National Lakeshore,2016,1
Petroglyph National Monument,2020,1
Virgin Islands National Park,2010,1
Petersburg National Battlefield,2022,1
Shenandoah National Park,2019,1
Shenandoah National Park,2023,1
Sleeping Bear Dunes National Lakeshore,2009,1
Sleeping Bear Dunes National Lakeshore,2011,1
Sleeping Bear Dunes National Lakeshore,2012,1
Sleeping Bear Dunes National Lakeshore,2013,1
Sleeping Bear Dunes National Lakeshore,2022,1
Sleeping Bear DunesNational Lakeshore,2015,1
Statue Of Liberty National Monument,2018,1
Suitland,2014,1
Theodore Roosevelt National Park,2012,1
Theodore Roosevelt National Park,2016,1
Thomas Jefferson Memorial,2021,1
Upper Delaware Scenic & Recreational River,2014,1
Upper Delaware Scenic & Recreational River,2016,1
Upper Delaware Scenic & Recreational River,2017,1
Obed Wild & Scenic River,2022,1
Valley Forge National Historical Park,2010,1
Valley Forge National Historical Park,2015,1
Valley Forge National Historical Park,2016,1
Virgin Islands National Park,2009,1
Organ Pipe Cactus National Monument,2013,1
Organ Pipe Cactus National Monument,2018,1
Organ Pipe Cactus National Monument,2019,1
Padre Island National Seashore,2015,1
Petersburg National Battlefield,2019,1
Petersburg National Battlefield,2018,1
Pecos National Historical Park,2019,1
Saratoga National Historical Park,2011,1
Saratoga National Historical Park,2014,1
Paterson Great Falls National Historical Park,2015,1
Scotts Bluff National Monument,2012,1
Scotts Bluff National Monument,2016,1
Padre Island National Seashore,2022,1
Sequoia & Kings Canyon National Parks,2011,1
Redwood National and State Parks,2016,1
Padre Island National Seashore,2010,1
Ozark National Scenic Riverways,2021,1
Ozark National Scenic Riverways,2020,1
Ozark National Scenic Riverways,2017,1
Ozark National Scenic Riverways,2016,1
Ozark National Scenic Riverways,2015,1
Ozark National Scenic Riverways,2012,1
Ozark National Scenic Riverways,2011,1
Oxon Cove Park & Oxon Hill Farm,2010,1
National Capital Parks-East,2020,1
Acadia National Park,2007,1
National Capital Parks-East,2018,1
Capitol Reef National Park,2017,1
Castillo De San Marcos National Monument,2016,1
Catoctin Mountain Park,2014,1
Catoctin Mountain Park,2017,1
Channel Islands National Park,2007,1
Channel Islands National Park,2009,1
Channel Islands National Park,2010,1
Channel Islands National Park,2013,1
Channel Islands National Park,2016,1
Channel Islands National Park,2020,1
Channel Islands National Park,2023,1
Chattahoochee River National Recreation Area,2008,1
Chattahoochee River National Recreation Area,2009,1
Chesapeake & Ohio Canal National Historical Park,2011,1
Chickamauga & Chattanooga National Military Park,2008,1
Chickamauga & Chattanooga National Military Park,2010,1
Chickamauga & Chattanooga National Military Park,2017,1
Chickamauga & Chattanooga National Military Park,2019,1
Chickamauga & Chattanooga National Military Park,2023,1
Chickasaw National Recreation Area,2007,1
Castillo De San Marcos National Monument,2010,1
Capitol Reef National Park,2015,1
Chickasaw National Recreation Area,2013,1
Cape Lookout National Seashore,2023,1
Canaveral National Seashore,2015,1
Canaveral National Seashore,2018,1
Canyon De Chelly National Monument,2012,1
Canyonlands National Park,2014,1
Canyonlands National Park,2016,1
Canyonlands National Park,2018,1
Canyonlands National Park,2022,1
Canyonlands National Park,2023,1
Cape Cod National Seashore,2007,1
Cape Cod National Seashore,2013,1
Cape Cod National Seashore,2021,1
Cape Cod National Seashore,2022,1
Cape Hatteras National Seashore,2008,1
Cape Hatteras National Seashore,2015,1
Cape Lookout National Seashore,2007,1
Cape Lookout National Seashore,2012,1
Cape Lookout National Seashore,2015,1
Cape Lookout National Seashore,2018,1
Cape Lookout National Seashore,2020,1
Chickasaw National Recreation Area,2008,1
Chickasaw National Recreation Area,2014,1
Canaveral National Seashore,2011,1
Cumberland Gap National Historical Park,2015,1
Cumberland Island National Seashore,2015,1
Curecanti National Recreation Area,2007,1
Curecanti National Recreation Area,2008,1
Curecanti National Recreation Area,2011,1
Curecanti National Recreation Area,2014,1
Curecanti National Recreation Area,2015,1
Cuyahoga Valley National Park,2008,1
Cuyahoga Valley National Park,2014,1
Cuyahoga Valley National Park,2018,1
Cuyahoga Valley National Park,2021,1
Death Valley National Park,2010,1
Death Valley National Park,2013,1
Delaware Water Gap National Recreation Area,2009,1
Delaware Water Gap National Recreation Area,2021,1
Delaware Water Gap National Recreation Area,2023,1
Devils Tower National Monument,2017,1
Dinosaur National Monument,2008,1
Dinosaur National Monument,2009,1
Dinosaur National Monument,2015,1
Cumberland Gap National Historical Park,2017,1
Craters Of The Moon National Monument & Preserve,2022,1
Chickasaw National Recreation Area,2015,1
Craters Of The Moon National Monument & Preserve,2015,1
Chickasaw National Recreation Area,2018,1
Chickasaw National Recreation Area,2019,1
Christiansted National Historic Site,2021,1
Clara Barton National Historic Site,2021,1
Clara Barton National Historic Site,2022,1
Colonial National Historical Park,2007,1
Colonial National Historical Park,2009,1
Colonial National Historical Park,2012,1
Colonial National Historical Park,2017,1
Colonial National Historical Park,2021,1
Colonial National Historical Park,2022,1
Colorado National Monument,2007,1
Congaree National Park,2015,1
Coronado National Memorial,2015,1
Coronado National Memorial,2016,1
Coronado National Memorial,2020,1
Crater Lake National Park,2015,1
Crater Lake National Park,2017,1
Crater Lake National Park,2018,1
Canaveral National Seashore,2014,1
Cabrillo National Monument,2017,1
Dinosaur National Monument,2019,1
Appalachian National Scenic Trail,2015,1
Arches National Park,2017,1
Arches National Park,2020,1
Arches National Park,2021,1
Assateague Island National Seashore,2011,1
Assateague Island National Seashore,2017,1
Assateague Island National Seashore,2019,1
Assateague Island National Seashore,2022,1
Badlands National Park,2007,1
Badlands National Park,2014,1
Badlands National Park,2017,1
Badlands National Park,2019,1
Badlands National Park,2020,1
Badlands National Park,2022,1
Baltimore-Washington Parkway,2011,1
Baltimore-Washington Parkway,2012,1
Bandelier National Monument,2022,1
Big Bend National Park,2009,1
Big Bend National Park,2011,1
Big Bend National Park,2014,1
Appalachian National Scenic Trail,2017,1
Appalachian National Scenic Trail,2010,1
Big Cypress National Preserve,2014,1
Apostle Islands National Lakeshore,2019,1
Acadia National Park,2011,1
Acadia National Park,2023,1
Allegheny Portage Railroad National Historic Site,2015,1
American Memorial Park,2022,1
Amistad National Recreation Area,2010,1
Amistad National Recreation Area,2016,1
Amistad National Recreation Area,2018,1
Amistad National Recreation Area,2019,1
Anacostia Park,2013,1
Anacostia Park,2014,1
Anacostia Park,2016,1
Anacostia Park,2018,1
Anacostia Park,2019,1
Anacostia Park,2020,1
Apostle Islands National Lakeshore,2007,1
Apostle Islands National Lakeshore,2010,1
Apostle Islands National Lakeshore,2011,1
Apostle Islands National Lakeshore,2012,1
Apostle Islands National Lakeshore,2016,1
Big Bend National Park,2021,1
Big Cypress National Preserve,2015,1
Buffalo National River,2020,1
Bighorn Canyon National Recreation Area,2016,1
Biscayne National Park,2010,1
Biscayne National Park,2016,1
Biscayne National Park,2018,1
Biscayne National Park,2020,1
Black Canyon Of The Gunnison National Park,2007,1
Black Canyon Of The Gunnison National Park,2017,1
Black Canyon Of The Gunnison National Park,2019,1
Black Canyon Of The Gunnison National Park,2021,1
Blue Ridge Parkway,2022,1
Blue Ridge Parkway,2023,1
Bluestone National Scenic River,2009,1
Boston National Historical Park,2016,1
Bryce Canyon National Park,2011,1
Bryce Canyon National Park,2015,1
Bryce Canyon National Park,2017,1
Buck Island Reef National Monument,2016,1
Buffalo National River,2007,1
Buffalo National River,2012,1
Buffalo National River,2017,1
Biscayne National Park,2008,1
Bighorn Canyon National Recreation Area,2010,1
Big Cypress National Preserve,2016,1
Big Thicket National Preserve,2022,1
Big Cypress National Preserve,2017,1
Big Cypress National Preserve,2019,1
Big Cypress National Preserve,2020,1
Big Cypress National Preserve,2023,1
Big South Fork National River and Recreation Area,2007,1
Big South Fork National River and Recreation Area,2008,1
Big South Fork National River and Recreation Area,2011,1
Big South Fork National River and Recreation Area,2012,1
Big South Fork National River and Recreation Area,2015,1
Big South Fork National River and Recreation Area,2018,1
Big South Fork National River and Recreation Area,2019,1
Big South Fork National River and Recreation Area,2020,1
Big South Fork National River and Recreation Area,2022,1
Big Thicket National Preserve,2007,1
Big Thicket National Preserve,2009,1
Big Thicket National Preserve,2013,1
Big Thicket National Preserve,2014,1
Big Thicket National Preserve,2017,1
Big Thicket National Preserve,2021,1
Dinosaur National Monument,2018,1
Dinosaur National Monument,2020,1
National Capital Parks-East,2017,1
Joshua Tree National Park,2023,1
Kenilworth Park & Aquatic Gardens,2014,1
Kenilworth Park & Aquatic Gardens,2015,1
Kenilworth Park & Aquatic Gardens,2020,1
Kennesaw Mountain National Battlefield Park,2014,1
Kennesaw Mountain National Battlefield Park,2016,1
Kings Mountain National Military Park,2018,1
Klondike Gold Rush National Historical Park,2019,1
Lake Clark National Park & Preserve,2016,1
Lake Clark National Park & Preserve,2017,1
Lake Meredith National Recreation Area,2007,1
Lake Meredith National Recreation Area,2011,1
Lake Meredith National Recreation Area,2016,1
Lake Meredith National Recreation Area,2019,1
Lake Meredith National Recreation Area,2020,1
Lake Meredith National Recreation Area,2021,1
Lake Meredith National Recreation Area,2022,1
Lake Roosevelt National Recreation Area,2009,1
Lake Roosevelt National Recreation Area,2010,1
Lake Roosevelt National Recreation Area,2014,1
Kaloko-Honokohau National Historical Park,2014,1
Joshua Tree National Park,2022,1
Lassen Volcanic National Park,2009,1
Joshua Tree National Park,2020,1
Independence National Historical Park,2015,1
Independence National Historical Park,2017,1
Independence National Historical Park,2018,1
Indiana Dunes National Park,2010,1
Indiana Dunes National Park,2013,1
Indiana Dunes National Park,2014,1
Indiana Dunes National Park,2015,1
Indiana Dunes National Park,2016,1
Indiana Dunes National Park,2017,1
Indiana Dunes National Park,2019,1
Indiana Dunes National Park,2021,1
Isle Royale National Park,2013,1
Isle Royale National Park,2019,1
Jean Lafitte National Historical Park & Preserve,2017,1
Jean Lafitte National Historical Park & Preserve,2021,1
Joshua Tree National Park,2009,1
Joshua Tree National Park,2012,1
Joshua Tree National Park,2015,1
Joshua Tree National Park,2016,1
Lake Roosevelt National Recreation Area,2021,1
Lassen Volcanic National Park,2017,1
Hovenweep National Monument,2014,1
Missouri National Recreational River,2016,1
Missouri National Recreational River,2022,1
Mojave National Preserve,2008,1
Mojave National Preserve,2009,1
Mojave National Preserve,2011,1
Mojave National Preserve,2012,1
Mojave National Preserve,2013,1
Mojave National Preserve,2016,1
Mojave National Preserve,2017,1
Monocacy National Battlefield,2018,1
Morristown National Historical Park,2017,1
Morristown National Historical Park,2022,1
Mount Rushmore National Memorial,2012,1
Mount Rushmore National Memorial,2014,1
Mount Rushmore National Memorial,2016,1
Mount Rushmore National Memorial,2021,1
Muir Woods National Monument,2019,1
Natchez Trace Parkway,2012,1
National Capital Parks-East,2007,1
National Capital Parks-East,2015,1
Missouri National Recreational River,2017,1
Missouri National Recreational River,2015,1
Lava Beds National Monument,2016,1
Mississippi National River & Recreation Area,2021,1
Lincoln Memorial,2015,1
Lincoln Memorial,2021,1
Little Bighorn Battlefield National Monument,2018,1
Little Bighorn Battlefield National Monument,2020,1
Little River Canyon National Preserve,2013,1
Little River Canyon National Preserve,2018,1
Little River Canyon National Preserve,2023,1
Lyndon B Johnson National Historical Park,2016,1
Mammoth Cave National Park,2008,1
Mammoth Cave National Park,2022,1
Manassas National Battlefield Park,2018,1
Manassas National Battlefield Park,2021,1
Manassas National Battlefield Park,2022,1
Mesa Verde National Park,2014,1
Mesa Verde National Park,2017,1
Minute Man National Historical Park,2015,1
Minute Man National Historical Park,2021,1
Mississippi National River & Recreation Area,2018,1
Mississippi National River & Recreation Area,2020,1
Independence National Historical Park,2014,1
Hot Springs National Park,2020,1
Dry Tortugas National Park,2014,1
Fort Bowie National Historic Site,2015,1
Fort Foote Park,2019,1
Fort Pulaski National Monument,2018,1
Fort Pulaski National Monument,2020,1
Fort Vancouver National Historic Site,2016,1
Fort Washington Park,2015,1
Fredericksburg & Spotsylvania National Military Park,2017,1
Fredericksburg & Spotsylvania National Military Park,2023,1
Friendship Hill National Historic Site,2012,1
Gateway National Recreation Area,2009,1
Gateway National Recreation Area,2013,1
Gateway National Recreation Area,2018,1
Gateway National Recreation Area,2023,1
Gauley River National Recreation Area,2008,1
Gauley River National Recreation Area,2009,1
Gauley River National Recreation Area,2012,1
Gauley River National Recreation Area,2017,1
Gauley River National Recreation Area,2018,1
George Washington Memorial Parkway,2008,1
George Washington Memorial Parkway,2011,1
Fort Foote Park,2014,1
Fort Bowie National Historic Site,2013,1
George Washington Memorial Parkway,2023,1
Florissant Fossil Beds National Monument,2018,1
Dry Tortugas National Park,2017,1
Dry Tortugas National Park,2018,1
Dry Tortugas National Park,2022,1
Eisenhower National Historic Site,2019,1
El Malpais National Monument,2021,1
El Malpais National Monument,2022,1
El Malpais National Monument,2023,1
El Morro National Monument,2014,1
Everglades National Park,2010,1
Everglades National Park,2012,1
Everglades National Park,2013,1
Everglades National Park,2015,1
Everglades National Park,2020,1
Everglades National Park,2022,1
Fire Island National Seashore,2017,1
Fire Island National Seashore,2019,1
Fire Island National Seashore,2021,1
First State National Historical Park,2019,1
First State National Historical Park,2023,1
George Washington Memorial Parkway,2013,1
Gettysburg National Military Park,2015,1
Hot Springs National Park,2017,1
Gulf Islands National Seashore,2010,1
Gulf Islands National Seashore,2022,1
Haleakala National Park,2008,1
Haleakala National Park,2011,1
Haleakala National Park,2013,1
Haleakala National Park,2014,1
Haleakala National Park,2017,1
Haleakala National Park,2019,1
Harpers Ferry National Historical Park,2008,1
Harpers Ferry National Historical Park,2013,1
Harpers Ferry National Historical Park,2015,1
Harpers Ferry National Historical Park,2016,1
Harpers Ferry National Historical Park,2020,1
Harpers Ferry National Historical Park,2021,1
Hawaii Volcanoes National Park,2010,1
Hawaii Volcanoes National Park,2011,1
Hawaii Volcanoes National Park,2019,1
Home Of Franklin D Roosevelt National Historic Site,2015,1
Hopewell Culture National Historical Park,2016,1
Hot Springs National Park,2009,1
Gulf Islands National Seashore,2013,1
Gulf Islands National Seashore,2008,1
Gila Cliff Dwellings National Monument,2007,1
Gulf Islands National Seashore,2007,1
Glacier Bay National Park & Preserve,2019,1
Glen Echo Park,2007,1
Golden Gate National Recreation Area,2012,1
Golden Spike National Historical Park,2019,1
Golden Spike National Historical Park,2021,1
Governors Island National Monument,2017,1
Grand Teton National Park,2023,1
Great Basin National Park,2015,1
Great Falls Park,2022,1
Great Falls Park,2023,1
Great Sand Dunes National Park & Preserve,2009,1
Great Sand Dunes National Park & Preserve,2010,1
Great Sand Dunes National Park & Preserve,2017,1
Great Sand Dunes National Park & Preserve,2018,1
Great Sand Dunes National Park & Preserve,2019,1
Acadia National Park,2009,1
Guadalupe Mountains National Park,2019,1
Guadalupe Mountains National Park,2020,1
Guadalupe Mountains National Park,2022,1
Greenbelt Park,2017,1
