,Park Name,Year,Cause of Death
621,Clara Barton National Historic Site,2018,2
622,Colonial National Historical Park,2020,2
623,Suitland,2020,2
624,Biscayne National Park,2011,2
625,Colonial National Historical Park,2018,2
626,Colonial National Historical Park,2011,2
627,Shenandoah National Park,2008,2
628,Shenandoah National Park,2012,2
629,Death Valley National Park,2007,2
630,Black Canyon Of The Gunnison National Park,2013,2
631,Canyonlands National Park,2017,2
632,Fredericksburg & Spotsylvania National Military Park,2022,2
633,Rock Creek Park,2019,2
634,Amistad National Recreation Area,2015,2
635,Rock Creek Park,2020,2
636,Rock Creek Park,2021,2
637,Gateway National Recreation Area,2007,2
638,Rock Creek Park,2022,2
639,Rock Creek Park,2023,2
640,Fredericksburg & Spotsylvania National Military Park,2019,2
641,Gateway National Recreation Area,2022,2
642,Rocky Mountain National Park,2008,2
643,Zion National Park,2012,2
644,Anacostia Park,2017,2
645,Rocky Mountain National Park,2012,2
646,Zion National Park,2009,2
647,Rocky Mountain National Park,2015,2
648,Death Valley National Park,2011,2
649,Gateway National Recreation Area,2021,2
650,Gauley River National Recreation Area,2007,2
651,Fire Island National Seashore,2012,2
652,Redwood National and State Parks,2018,2
653,Glen Canyon National Recreation Area,2023,2
654,Glacier National Park,2022,2
655,Glacier National Park,2020,2
656,Glacier National Park,2018,2
657,Glacier National Park,2012,2
658,Glacier National Park,2009,2
659,Glacier National Park,2008,2
660,Glacier Bay National Park & Preserve,2016,2
661,Amistad National Recreation Area,2008,2
662,Gettysburg National Military Park,2019,2
663,Redwood National and State Parks,2021,2
664,George Washington Memorial Parkway,2014,2
665,Acadia National Park,2014,2
666,Acadia National Park,2017,2
667,Acadia National Park,2022,2
668,George Washington Birthplace,2013,2
669,Arches National Park,2018,2
670,Zion National Park,2007,2
671,Saguaro National Park,2008,2
672,Denali National Park & Preserve,2008,2
673,Baltimore-Washington Parkway,2007,2
674,Arches National Park,2023,2
675,Baltimore-Washington Parkway,2009,2
676,Baltimore-Washington Parkway,2014,2
677,Bandelier National Monument,2016,2
678,Yellowstone National Park,2012,2
679,Denali National Park & Preserve,2021,2
680,San Antonio Missions National Historical Park,2015,2
681,Saint Croix National Scenic Riverway,2018,2
682,Delaware Water Gap National Recreation Area,2022,2
683,Big Bend National Park,2018,2
684,Delaware Water Gap National Recreation Area,2014,2
685,Delaware Water Gap National Recreation Area,2012,2
686,Delaware Water Gap National Recreation Area,2010,2
687,Big Bend National Park,2020,2
688,Yellowstone National Park,2011,2
689,Buffalo National River,2011,2
690,Baltimore-Washington Parkway,2008,2
691,Dinosaur National Monument,2016,2
692,Saint Croix Island International Historic Site,2013,2
693,Yosemite National Park,2008,2
694,Assateague Island National Seashore,2021,2
695,Buffalo National River,2013,2
696,Dinosaur National Monument,2017,2
697,Everglades National Park,2016,2
698,Saguaro National Park,2010,2
699,Saint Croix Island International Historic Site,2012,2
700,Canaveral National Seashore,2019,2
701,Badlands National Park,2015,2
702,Dry Tortugas National Park,2015,2
703,Assateague Island National Seashore,2016,2
704,Saint Croix National Scenic Riverway,2017,2
705,Assateague Island National Seashore,2018,2
706,Virgin Islands National Park,2014,1
707,Voyageurs National Park,2013,1
708,North Cascades National Park,2012,1
709,Virgin Islands National Park,2012,1
710,Voyageurs National Park,2009,1
711,Obed Wild & Scenic River,2017,1
712,North Cascades National Park,2013,1
713,Virgin Islands National Park,2013,1
714,Obed Wild & Scenic River,2015,1
715,North Cascades National Park,2015,1
716,Redwood National and State Parks,2012,1
717,North Cascades National Park,2011,1
718,Yellowstone National Park,2009,1
719,Wind Cave National Park,2012,1
720,Wind Cave National Park,2014,1
721,Wind Cave National Park,2016,1
722,Wrangell - St Elias National Park & Reserve,2014,1
723,Wrangell - St Elias National Park & Reserve,2020,1
724,Wupatki National Monument,2022,1
725,Yellowstone National Park,2021,1
726,National Mall & Memorial Parks,2021,1
727,Yellowstone National Park,2022,1
728,Yellowstone National Park,2023,1
729,Yorktown Battlefield Part of Colonial National Historical Park,2023,1
730,Zion National Park,2016,1
731,Zion National Park,2020,1
732,National Mall & Memorial Parks,2008,1
733,Wind Cave National Park,2007,1
734,White Sands National Park,2021,1
735,North Cascades National Park,2010,1
736,Niobrara National Scenic River,2012,1
737,Voyageurs National Park,2017,1
738,Voyageurs National Park,2018,1
739,North Cascades National Park,2009,1
740,Walnut Canyon National Monument,2017,1
741,Whiskeytown National Recreation Area,2007,1
742,Niobrara National Scenic River,2015,1
743,Whiskeytown National Recreation Area,2012,1
744,White Sands National Park,2019,1
745,Whiskeytown National Recreation Area,2014,1
746,New River Gorge National River,2020,1
747,Whiskeytown National Recreation Area,2018,1
748,New River Gorge National River,2014,1
749,White Sands National Park,2011,1
750,White Sands National Park,2018,1
751,Wilson's Creek National Battlefield,2019,1
752,Organ Pipe Cactus National Monument,2020,1
753,Obed Wild & Scenic River,2021,1
754,Pictured Rocks National Lakeshore,2013,1
755,Point Reyes National Seashore,2021,1
756,Saint Croix National Scenic Riverway,2019,1
757,Saint Croix National Scenic Riverway,2021,1
758,Point Reyes National Seashore,2018,1
759,Saint Croix National Scenic Riverway,2022,1
760,San Antonio Missions National Historical Park,2017,1
761,San Antonio Missions National Historical Park,2019,1
762,San Francisco Maritime National Historical Park,2014,1
763,San Francisco Maritime National Historical Park,2015,1
764,San Francisco Maritime National Historical Park,2019,1
765,San Juan Island National Historical Park,2018,1
766,Piscataway Park,2022,1
767,Piscataway Park,2014,1
768,Pinnacles National Park,2022,1
769,Santa Monica Mountains National Recreation Area,2010,1
770,Pinnacles National Park,2019,1
771,Pinnacles National Park,2014,1
772,Pinnacles National Park,2008,1
773,Pictured Rocks National Lakeshore,2023,1
774,Pictured Rocks National Lakeshore,2019,1
775,Pictured Rocks National Lakeshore,2018,1
776,Point Reyes National Seashore,2022,1
777,President's Park (White House),2019,1
778,Saint Croix National Scenic Riverway,2011,1
779,Prince William Forest Park,2021,1
780,Redwood National and State Parks,2020,1
781,Redwood National and State Parks,2022,1
782,Richmond National Battlefield Park,2009,1
783,Richmond National Battlefield Park,2022,1
784,Richmond National Battlefield Park,2023,1
785,Rock Creek Park,2015,1
786,Redwood National and State Parks,2010,1
787,Rocky Mountain National Park,2007,1
788,Redwood National and State Parks,2007,1
789,Prince William Forest,2011,1
790,Saint Croix National Scenic Riverway,2009,1
791,Rocky Mountain National Park,2022,1
792,Presidio of San Francisco,2017,1
793,Saguaro National Park,2009,1
794,National Capital Parks-East,2019,1
795,Saguaro National Park,2015,1
796,Saguaro National Park,2016,1
797,Saguaro National Park,2017,1
798,Saguaro National Park,2021,1
799,Saint Croix Island International Historic Site,2015,1
800,Pictured Rocks National Lakeshore,2016,1
801,Petroglyph National Monument,2020,1
802,Virgin Islands National Park,2010,1
803,Petersburg National Battlefield,2022,1
804,Shenandoah National Park,2019,1
805,Shenandoah National Park,2023,1
806,Sleeping Bear Dunes National Lakeshore,2009,1
807,Sleeping Bear Dunes National Lakeshore,2011,1
808,Sleeping Bear Dunes National Lakeshore,2012,1
809,Sleeping Bear Dunes National Lakeshore,2013,1
810,Sleeping Bear Dunes National Lakeshore,2022,1
811,Sleeping Bear DunesNational Lakeshore,2015,1
812,Statue Of Liberty National Monument,2018,1
813,Suitland,2014,1
814,Theodore Roosevelt National Park,2012,1
815,Theodore Roosevelt National Park,2016,1
816,Thomas Jefferson Memorial,2021,1
817,Upper Delaware Scenic & Recreational River,2014,1
818,Upper Delaware Scenic & Recreational River,2016,1
819,Upper Delaware Scenic & Recreational River,2017,1
820,Obed Wild & Scenic River,2022,1
821,Valley Forge National Historical Park,2010,1
822,Valley Forge National Historical Park,2015,1
823,Valley Forge National Historical Park,2016,1
824,Virgin Islands National Park,2009,1
825,Organ Pipe Cactus National Monument,2013,1
826,Organ Pipe Cactus National Monument,2018,1
827,Organ Pipe Cactus National Monument,2019,1
828,Padre Island National Seashore,2015,1
829,Petersburg National Battlefield,2019,1
830,Petersburg National Battlefield,2018,1
831,Pecos National Historical Park,2019,1
832,Saratoga National Historical Park,2011,1
833,Saratoga National Historical Park,2014,1
834,Paterson Great Falls National Historical Park,2015,1
835,Scotts Bluff National Monument,2012,1
836,Scotts Bluff National Monument,2016,1
837,Padre Island National Seashore,2022,1
838,Sequoia & Kings Canyon National Parks,2011,1
839,Redwood National and State Parks,2016,1
840,Padre Island National Seashore,2010,1
841,Ozark National Scenic Riverways,2021,1
842,Ozark National Scenic Riverways,2020,1
843,Ozark National Scenic Riverways,2017,1
844,Ozark National Scenic Riverways,2016,1
845,Ozark National Scenic Riverways,2015,1
846,Ozark National Scenic Riverways,2012,1
847,Ozark National Scenic Riverways,2011,1
848,Oxon Cove Park & Oxon Hill Farm,2010,1
849,National Capital Parks-East,2020,1
850,Acadia National Park,2007,1
851,National Capital Parks-East,2018,1
852,Capitol Reef National Park,2017,1
853,Castillo De San Marcos National Monument,2016,1
854,Catoctin Mountain Park,2014,1
855,Catoctin Mountain Park,2017,1
856,Channel Islands National Park,2007,1
857,Channel Islands National Park,2009,1
858,Channel Islands National Park,2010,1
859,Channel Islands National Park,2013,1
860,Channel Islands National Park,2016,1
861,Channel Islands National Park,2020,1
862,Channel Islands National Park,2023,1
863,Chattahoochee River National Recreation Area,2008,1
864,Chattahoochee River National Recreation Area,2009,1
865,Chesapeake & Ohio Canal National Historical Park,2011,1
866,Chickamauga & Chattanooga National Military Park,2008,1
867,Chickamauga & Chattanooga National Military Park,2010,1
868,Chickamauga & Chattanooga National Military Park,2017,1
869,Chickamauga & Chattanooga National Military Park,2019,1
870,Chickamauga & Chattanooga National Military Park,2023,1
871,Chickasaw National Recreation Area,2007,1
872,Castillo De San Marcos National Monument,2010,1
873,Capitol Reef National Park,2015,1
874,Chickasaw National Recreation Area,2013,1
875,Cape Lookout National Seashore,2023,1
876,Canaveral National Seashore,2015,1
877,Canaveral National Seashore,2018,1
878,Canyon De Chelly National Monument,2012,1
879,Canyonlands National Park,2014,1
880,Canyonlands National Park,2016,1
881,Canyonlands National Park,2018,1
882,Canyonlands National Park,2022,1
883,Canyonlands National Park,2023,1
884,Cape Cod National Seashore,2007,1
885,Cape Cod National Seashore,2013,1
886,Cape Cod National Seashore,2021,1
887,Cape Cod National Seashore,2022,1
888,Cape Hatteras National Seashore,2008,1
889,Cape Hatteras National Seashore,2015,1
890,Cape Lookout National Seashore,2007,1
891,Cape Lookout National Seashore,2012,1
892,Cape Lookout National Seashore,2015,1
893,Cape Lookout National Seashore,2018,1
894,Cape Lookout National Seashore,2020,1
895,Chickasaw National Recreation Area,2008,1
896,Chickasaw National Recreation Area,2014,1
897,Canaveral National Seashore,2011,1
898,Cumberland Gap National Historical Park,2015,1
899,Cumberland Island National Seashore,2015,1
900,Curecanti National Recreation Area,2007,1
901,Curecanti National Recreation Area,2008,1
902,Curecanti National Recreation Area,2011,1
903,Curecanti National Recreation Area,2014,1
904,Curecanti National Recreation Area,2015,1
905,Cuyahoga Valley National Park,2008,1
906,Cuyahoga Valley National Park,2014,1
907,Cuyahoga Valley National Park,2018,1
908,Cuyahoga Valley National Park,2021,1
909,Death Valley National Park,2010,1
910,Death Valley National Park,2013,1
911,Delaware Water Gap National Recreation Area,2009,1
912,Delaware Water Gap National Recreation Area,2021,1
913,Delaware Water Gap National Recreation Area,2023,1
914,Devils Tower National Monument,2017,1
915,Dinosaur National Monument,2008,1
916,Dinosaur National Monument,2009,1
917,Dinosaur National Monument,2015,1
918,Cumberland Gap National Historical Park,2017,1
919,Craters Of The Moon National Monument & Preserve,2022,1
920,Chickasaw National Recreation Area,2015,1
921,Craters Of The Moon National Monument & Preserve,2015,1
922,Chickasaw National Recreation Area,2018,1
923,Chickasaw National Recreation Area,2019,1
924,Christiansted National Historic Site,2021,1
925,Clara Barton National Historic Site,2021,1
926,Clara Barton National Historic Site,2022,1
927,Colonial National Historical Park,2007,1
928,Colonial National Historical Park,2009,1
929,Colonial National Historical Park,2012,1
930,Colonial National Historical Park,2017,1
931,Colonial National Historical Park,2021,1
932,Colonial National Historical Park,2022,1
933,Colorado National Monument,2007,1
934,Congaree National Park,2015,1
935,Coronado National Memorial,2015,1
936,Coronado National Memorial,2016,1
937,Coronado National Memorial,2020,1
938,Crater Lake National Park,2015,1
939,Crater Lake National Park,2017,1
940,Crater Lake National Park,2018,1
941,Canaveral National Seashore,2014,1
942,Cabrillo National Monument,2017,1
943,Dinosaur National Monument,2019,1
944,Appalachian National Scenic Trail,2015,1
945,Arches National Park,2017,1
946,Arches National Park,2020,1
947,Arches National Park,2021,1
948,Assateague Island National Seashore,2011,1
949,Assateague Island National Seashore,2017,1
950,Assateague Island National Seashore,2019,1
951,Assateague Island National Seashore,2022,1
952,Badlands National Park,2007,1
953,Badlands National Park,2014,1
954,Badlands National Park,2017,1
955,Badlands National Park,2019,1
956,Badlands National Park,2020,1
957,Badlands National Park,2022,1
958,Baltimore-Washington Parkway,2011,1
959,Baltimore-Washington Parkway,2012,1
960,Bandelier National Monument,2022,1
961,Big Bend National Park,2009,1
962,Big Bend National Park,2011,1
963,Big Bend National Park,2014,1
964,Appalachian National Scenic Trail,2017,1
965,Appalachian National Scenic Trail,2010,1
966,Big Cypress National Preserve,2014,1
967,Apostle Islands National Lakeshore,2019,1
968,Acadia National Park,2011,1
969,Acadia National Park,2023,1
970,Allegheny Portage Railroad National Historic Site,2015,1
971,American Memorial Park,2022,1
972,Amistad National Recreation Area,2010,1
973,Amistad National Recreation Area,2016,1
974,Amistad National Recreation Area,2018,1
975,Amistad National Recreation Area,2019,1
976,Anacostia Park,2013,1
977,Anacostia Park,2014,1
978,Anacostia Park,2016,1
979,Anacostia Park,2018,1
980,Anacostia Park,2019,1
981,Anacostia Park,2020,1
982,Apostle Islands National Lakeshore,2007,1
983,Apostle Islands National Lakeshore,2010,1
984,Apostle Islands National Lakeshore,2011,1
985,Apostle Islands National Lakeshore,2012,1
986,Apostle Islands National Lakeshore,2016,1
987,Big Bend National Park,2021,1
988,Big Cypress National Preserve,2015,1
989,Buffalo National River,2020,1
990,Bighorn Canyon National Recreation Area,2016,1
991,Biscayne National Park,2010,1
992,Biscayne National Park,2016,1
993,Biscayne National Park,2018,1
994,Biscayne National Park,2020,1
995,Black Canyon Of The Gunnison National Park,2007,1
996,Black Canyon Of The Gunnison National Park,2017,1
997,Black Canyon Of The Gunnison National Park,2019,1
998,Black Canyon Of The Gunnison National Park,2021,1
999,Blue Ridge Parkway,2022,1
1000,Blue Ridge Parkway,2023,1
1001,Bluestone National Scenic River,2009,1
1002,Boston National Historical Park,2016,1
1003,Bryce Canyon National Park,2011,1
1004,Bryce Canyon National Park,2015,1
1005,Bryce Canyon National Park,2017,1
1006,Buck Island Reef National Monument,2016,1
1007,Buffalo National River,2007,1
1008,Buffalo National River,2012,1
1009,Buffalo National River,2017,1
1010,Biscayne National Park,2008,1
1011,Bighorn Canyon National Recreation Area,2010,1
1012,Big Cypress National Preserve,2016,1
1013,Big Thicket National Preserve,2022,1
1014,Big Cypress National Preserve,2017,1
1015,Big Cypress National Preserve,2019,1
1016,Big Cypress National Preserve,2020,1
1017,Big Cypress National Preserve,2023,1
1018,Big South Fork National River and Recreation Area,2007,1
1019,Big South Fork National River and Recreation Area,2008,1
1020,Big South Fork National River and Recreation Area,2011,1
1021,Big South Fork National River and Recreation Area,2012,1
1022,Big South Fork National River and Recreation Area,2015,1
1023,Big South Fork National River and Recreation Area,2018,1
1024,Big South Fork National River and Recreation Area,2019,1
1025,Big South Fork National River and Recreation Area,2020,1
1026,Big South Fork National River and Recreation Area,2022,1
1027,Big Thicket National Preserve,2007,1
1028,Big Thicket National Preserve,2009,1
1029,Big Thicket National Preserve,2013,1
1030,Big Thicket National Preserve,2014,1
1031,Big Thicket National Preserve,2017,1
1032,Big Thicket National Preserve,2021,1
1033,Dinosaur National Monument,2018,1
1034,Dinosaur National Monument,2020,1
1035,National Capital Parks-East,2017,1
1036,Joshua Tree National Park,2023,1
1037,Kenilworth Park & Aquatic Gardens,2014,1
1038,Kenilworth Park & Aquatic Gardens,2015,1
1039,Kenilworth Park & Aquatic Gardens,2020,1
1040,Kennesaw Mountain National Battlefield Park,2014,1
1041,Kennesaw Mountain National Battlefield Park,2016,1
1042,Kings Mountain National Military Park,2018,1
1043,Klondike Gold Rush National Historical Park,2019,1
1044,Lake Clark National Park & Preserve,2016,1
1045,Lake Clark National Park & Preserve,2017,1
1046,Lake Meredith National Recreation Area,2007,1
1047,Lake Meredith National Recreation Area,2011,1
1048,Lake Meredith National Recreation Area,2016,1
1049,Lake Meredith National Recreation Area,2019,1
1050,Lake Meredith National Recreation Area,2020,1
1051,Lake Meredith National Recreation Area,2021,1
1052,Lake Meredith National Recreation Area,2022,1
1053,Lake Roosevelt National Recreation Area,2009,1
1054,Lake Roosevelt National Recreation Area,2010,1
1055,Lake Roosevelt National Recreation Area,2014,1
1056,Kaloko-Honokohau National Historical Park,2014,1
1057,Joshua Tree National Park,2022,1
1058,Lassen Volcanic National Park,2009,1
1059,Joshua Tree National Park,2020,1
1060,Independence National Historical Park,2015,1
1061,Independence National Historical Park,2017,1
1062,Independence National Historical Park,2018,1
1063,Indiana Dunes National Park,2010,1
1064,Indiana Dunes National Park,2013,1
1065,Indiana Dunes National Park,2014,1
1066,Indiana Dunes National Park,2015,1
1067,Indiana Dunes National Park,2016,1
1068,Indiana Dunes National Park,2017,1
1069,Indiana Dunes National Park,2019,1
1070,Indiana Dunes National Park,2021,1
1071,Isle Royale National Park,2013,1
1072,Isle Royale National Park,2019,1
1073,Jean Lafitte National Historical Park & Preserve,2017,1
1074,Jean Lafitte National Historical Park & Preserve,2021,1
1075,Joshua Tree National Park,2009,1
1076,Joshua Tree National Park,2012,1
1077,Joshua Tree National Park,2015,1
1078,Joshua Tree National Park,2016,1
1079,Lake Roosevelt National Recreation Area,2021,1
1080,Lassen Volcanic National Park,2017,1
1081,Hovenweep National Monument,2014,1
1082,Missouri National Recreational River,2016,1
1083,Missouri National Recreational River,2022,1
1084,Mojave National Preserve,2008,1
1085,Mojave National Preserve,2009,1
1086,Mojave National Preserve,2011,1
1087,Mojave National Preserve,2012,1
1088,Mojave National Preserve,2013,1
1089,Mojave National Preserve,2016,1
1090,Mojave National Preserve,2017,1
1091,Monocacy National Battlefield,2018,1
1092,Morristown National Historical Park,2017,1
1093,Morristown National Historical Park,2022,1
1094,Mount Rushmore National Memorial,2012,1
1095,Mount Rushmore National Memorial,2014,1
1096,Mount Rushmore National Memorial,2016,1
1097,Mount Rushmore National Memorial,2021,1
1098,Muir Woods National Monument,2019,1
1099,Natchez Trace Parkway,2012,1
1100,National Capital Parks-East,2007,1
1101,National Capital Parks-East,2015,1
1102,Missouri National Recreational River,2017,1
1103,Missouri National Recreational River,2015,1
1104,Lava Beds National Monument,2016,1
1105,Mississippi National River & Recreation Area,2021,1
1106,Lincoln Memorial,2015,1
1107,Lincoln Memorial,2021,1
1108,Little Bighorn Battlefield National Monument,2018,1
1109,Little Bighorn Battlefield National Monument,2020,1
1110,Little River Canyon National Preserve,2013,1
1111,Little River Canyon National Preserve,2018,1
1112,Little River Canyon National Preserve,2023,1
1113,Lyndon B Johnson National Historical Park,2016,1
1114,Mammoth Cave National Park,2008,1
1115,Mammoth Cave National Park,2022,1
1116,Manassas National Battlefield Park,2018,1
1117,Manassas National Battlefield Park,2021,1
1118,Manassas National Battlefield Park,2022,1
1119,Mesa Verde National Park,2014,1
1120,Mesa Verde National Park,2017,1
1121,Minute Man National Historical Park,2015,1
1122,Minute Man National Historical Park,2021,1
1123,Mississippi National River & Recreation Area,2018,1
1124,Mississippi National River & Recreation Area,2020,1
1125,Independence National Historical Park,2014,1
1126,Hot Springs National Park,2020,1
1127,Dry Tortugas National Park,2014,1
1128,Fort Bowie National Historic Site,2015,1
1129,Fort Foote Park,2019,1
1130,Fort Pulaski National Monument,2018,1
1131,Fort Pulaski National Monument,2020,1
1132,Fort Vancouver National Historic Site,2016,1
1133,Fort Washington Park,2015,1
1134,Fredericksburg & Spotsylvania National Military Park,2017,1
1135,Fredericksburg & Spotsylvania National Military Park,2023,1
1136,Friendship Hill National Historic Site,2012,1
1137,Gateway National Recreation Area,2009,1
1138,Gateway National Recreation Area,2013,1
1139,Gateway National Recreation Area,2018,1
1140,Gateway National Recreation Area,2023,1
1141,Gauley River National Recreation Area,2008,1
1142,Gauley River National Recreation Area,2009,1
1143,Gauley River National Recreation Area,2012,1
1144,Gauley River National Recreation Area,2017,1
1145,Gauley River National Recreation Area,2018,1
1146,George Washington Memorial Parkway,2008,1
1147,George Washington Memorial Parkway,2011,1
1148,Fort Foote Park,2014,1
1149,Fort Bowie National Historic Site,2013,1
1150,George Washington Memorial Parkway,2023,1
1151,Florissant Fossil Beds National Monument,2018,1
1152,Dry Tortugas National Park,2017,1
1153,Dry Tortugas National Park,2018,1
1154,Dry Tortugas National Park,2022,1
1155,Eisenhower National Historic Site,2019,1
1156,El Malpais National Monument,2021,1
1157,El Malpais National Monument,2022,1
1158,El Malpais National Monument,2023,1
1159,El Morro National Monument,2014,1
1160,Everglades National Park,2010,1
1161,Everglades National Park,2012,1
1162,Everglades National Park,2013,1
1163,Everglades National Park,2015,1
1164,Everglades National Park,2020,1
1165,Everglades National Park,2022,1
1166,Fire Island National Seashore,2017,1
1167,Fire Island National Seashore,2019,1
1168,Fire Island National Seashore,2021,1
1169,First State National Historical Park,2019,1
1170,First State National Historical Park,2023,1
1171,George Washington Memorial Parkway,2013,1
1172,Gettysburg National Military Park,2015,1
1173,Hot Springs National Park,2017,1
1174,Gulf Islands National Seashore,2010,1
1175,Gulf Islands National Seashore,2022,1
1176,Haleakala National Park,2008,1
1177,Haleakala National Park,2011,1
1178,Haleakala National Park,2013,1
1179,Haleakala National Park,2014,1
1180,Haleakala National Park,2017,1
1181,Haleakala National Park,2019,1
1182,Harpers Ferry National Historical Park,2008,1
1183,Harpers Ferry National Historical Park,2013,1
1184,Harpers Ferry National Historical Park,2015,1
1185,Harpers Ferry National Historical Park,2016,1
1186,Harpers Ferry National Historical Park,2020,1
1187,Harpers Ferry National Historical Park,2021,1
1188,Hawaii Volcanoes National Park,2010,1
1189,Hawaii Volcanoes National Park,2011,1
1190,Hawaii Volcanoes National Park,2019,1
1191,Home Of Franklin D Roosevelt National Historic Site,2015,1
1192,Hopewell Culture National Historical Park,2016,1
1193,Hot Springs National Park,2009,1
1194,Gulf Islands National Seashore,2013,1
1195,Gulf Islands National Seashore,2008,1
1196,Gila Cliff Dwellings National Monument,2007,1
1197,Gulf Islands National Seashore,2007,1
1198,Glacier Bay National Park & Preserve,2019,1
1199,Glen Echo Park,2007,1
1200,Golden Gate National Recreation Area,2012,1
1201,Golden Spike National Historical Park,2019,1
1202,Golden Spike National Historical Park,2021,1
1203,Governors Island National Monument,2017,1
1204,Grand Teton National Park,2023,1
1205,Great Basin National Park,2015,1
1206,Great Falls Park,2022,1
1207,Great Falls Park,2023,1
1208,Great Sand Dunes National Park & Preserve,2009,1
1209,Great Sand Dunes National Park & Preserve,2010,1
1210,Great Sand Dunes National Park & Preserve,2017,1
1211,Great Sand Dunes National Park & Preserve,2018,1
1212,Great Sand Dunes National Park & Preserve,2019,1
1213,Acadia National Park,2009,1
1214,Guadalupe Mountains National Park,2019,1
1215,Guadalupe Mountains National Park,2020,1
1216,Guadalupe Mountains National Park,2022,1
1217,Greenbelt Park,2017,1
